STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/25/08,7.61,0.46,3.5,34,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/26/08,15.21,0.25,1.7,32,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/27/08,9.62,0,0,23,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/28/08,6.71,0.02,0.5,26,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/29/08,14.76,0.12,1,38,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/1/08,7.38,0,0,33,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/2/08,13.65,0.07,0,57,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/3/08,11.18,0.61,0,56,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/4/08,14.09,0,0,31,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/5/08,6.71,0,0,36,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/6/08,9.4,0,0.1,32,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/7/08,14.09,0,0,26,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/8/08,8.28,0.01,0.3,25,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/9/08,4.92,0,0.1,35,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/10/08,6.93,0,0.1,35,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/11/08,12.08,0,0,48,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/12/08,8.05,0,0,44,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/13/08,10.51,0,0,57,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/14/08,6.04,0,0,57,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/15/08,10.51,0,0,39,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/16/08,9.84,0,0,37,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/17/08,12.08,0.02,0,39,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/18/08,6.71,0.06,0,42,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/19/08,10.74,0,0,48,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/20/08,8.28,0,0,49,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/21/08,15.43,0.58,4.8,34,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/22/08,9.84,0.08,0.6,37,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/23/08,6.49,0,0,42,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/24/08,8.5,0,0,39,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/25/08,21.03,0,0,58,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/26/08,6.26,0,0,51,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/27/08,12.75,0.47,1.9,45,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/28/08,9.17,0,0,40,27
