STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/07,13.2,0,0,43,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/07,9.62,0,0,43,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/07,15.66,0,0,48,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/07,17.45,0.66,0,52,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/07,8.05,0.03,0,50,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/07,8.5,0.02,0,42,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/07,8.72,0.05,0,41,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/07,13.2,0,0,39,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/07,15.66,0,0,33,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/07,11.86,0,0,35,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/07,19.01,0.02,0,45,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/07,9.4,0.19,0,48,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/07,11.86,0,0,33,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/07,10.74,0.43,0,33,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/07,12.08,0.21,1.6,33,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/07,10.74,0,0,23,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/07,9.4,0,0,22,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/07,12.08,0,0.1,30,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/07,13.42,0,0,27,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/07,5.82,0,0,27,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/07,8.28,0.08,0.8,29,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/07,9.84,0,0,31,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/07,11.41,0,0,26,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/07,9.62,0,0,28,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/07,9.4,0,0,24,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/07,14.54,0,0,43,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/07,11.63,0,0.1,34,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/07,13.2,0.02,0.4,24,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/07,10.96,0.01,0.5,25,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/07,14.32,0,0,18,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/07,12.75,0,0,20,3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/07,12.08,0,0,24,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/07,13.42,0,0,12,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/07,18.34,0,0,11,-6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/07,13.65,0,0,2,-6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/07,11.18,0,0,5,-10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/07,6.04,0.11,2.1,10,-5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/07,11.86,0,0,11,-2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/07,12.53,0,0,11,-4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/07,10.51,0,0,17,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/07,9.62,0,0,13,-1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/07,8.5,0,0,27,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/07,11.63,0.09,1.4,31,25
